v1,v2,c1,c2,choice,rt
-1,-3,0.1,0.7,0.0298,42.1302
0,-3,0.1,0.7,0.0246,41.5924
1,-3,0.1,0.7,0.0264,40.9058
2,-3,0.1,0.7,0.0232,39.3732
3,-3,0.1,0.7,0.0188,39.4152
-3,-2,0.1,0.7,0.1214,55.9198
-2,-2,0.1,0.7,0.1182,54.9132
-1,-2,0.1,0.7,0.0938,53.2872
0,-2,0.1,0.7,0.0858,52.2264
1,-2,0.1,0.7,0.0848,51.0604
2,-2,0.1,0.7,0.0734,49.7802
3,-2,0.1,0.7,0.0646,48.7258
-3,-1,0.1,0.7,0.324,66.6342
-2,-1,0.1,0.7,0.2978,66.8436
-1,-1,0.1,0.7,0.2776,65.1282
0,-1,0.1,0.7,0.2462,63.6212
1,-1,0.1,0.7,0.2192,63.8646
2,-1,0.1,0.7,0.2068,61.7342
3,-1,0.1,0.7,0.1838,61.328
-3,0,0.1,0.7,0.5964,68.879
-2,0,0.1,0.7,0.5506,69.9846
-1,0,0.1,0.7,0.5174,69.7838
0,0,0.1,0.7,0.5008,70.3498
1,0,0.1,0.7,0.469,70.2612
2,0,0.1,0.7,0.4478,70.1312
3,0,0.1,0.7,0.4128,69.1952
-3,1,0.1,0.7,0.8124,61.5006
-2,1,0.1,0.7,0.7818,61.5364
-1,1,0.1,0.7,0.7684,64.2254
0,1,0.1,0.7,0.7492,65.0468
1,1,0.1,0.7,0.7298,65.9394
2,1,0.1,0.7,0.7108,66.7618
3,1,0.1,0.7,0.6824,68.4212
-3,2,0.1,0.7,0.9386,50.0914
-2,2,0.1,0.7,0.9318,51.4064
-1,2,0.1,0.7,0.9112,51.7484
0,2,0.1,0.7,0.9016,53.3052
1,2,0.1,0.7,0.8938,55.0184
2,2,0.1,0.7,0.8792,55.8946
3,2,0.1,0.7,0.8656,56.1338
-3,3,0.1,0.7,0.9734,40.3384
-2,3,0.1,0.7,0.9758,40.731
-1,3,0.1,0.7,0.9692,41.3968
0,3,0.1,0.7,0.9672,42.4652
1,3,0.1,0.7,0.9662,43.622
2,3,0.1,0.7,0.9578,44.3732
3,3,0.1,0.7,0.9474,45.5198
-3,-3,0.4,0.7,0.1148,73.4176
-2,-3,0.4,0.7,0.0688,66.922
-1,-3,0.4,0.7,0.0404,61.2628
0,-3,0.4,0.7,0.0264,54.8782
1,-3,0.4,0.7,0.0172,50.3902
2,-3,0.4,0.7,0.0112,45.6324
3,-3,0.4,0.7,0.0066,42.352
-3,-2,0.4,0.7,0.291,90.8152
-2,-2,0.4,0.7,0.205,86.8458
-1,-2,0.4,0.7,0.1478,79.4618
0,-2,0.4,0.7,0.0932,72.698
1,-2,0.4,0.7,0.0568,66.2614
2,-2,0.4,0.7,0.0418,58.2106
3,-2,0.4,0.7,0.0246,52.8164
-3,-1,0.4,0.7,0.5618,98.4658
-2,-1,0.4,0.7,0.46,97.9962
-1,-1,0.4,0.7,0.3416,93.801
0,-1,0.4,0.7,0.2328,90.9384
1,-1,0.4,0.7,0.1654,83.2586
2,-1,0.4,0.7,0.1102,78.0796
3,-1,0.4,0.7,0.079,68.804
-3,0,0.4,0.7,0.791,85.169
-2,0,0.4,0.7,0.717,91.9892
-1,0,0.4,0.7,0.61,96.7738
0,0,0.4,0.7,0.5084,98.8054
1,0,0.4,0.7,0.3784,99.1344
2,0,0.4,0.7,0.2866,93.1734
3,0,0.4,0.7,0.2118,86.798
-3,1,0.4,0.7,0.9304,68.9144
-2,1,0.4,0.7,0.889,75.3296
-1,1,0.4,0.7,0.8402,82.6218
0,1,0.4,0.7,0.7702,89.2466
1,1,0.4,0.7,0.665,96.4366
2,1,0.4,0.7,0.5628,96.5612
3,1,0.4,0.7,0.4654,95.4286
-3,2,0.4,0.7,0.978,53.7584
-2,2,0.4,0.7,0.9678,58.6942
-1,2,0.4,0.7,0.9354,64.6562
0,2,0.4,0.7,0.911,71.7616
1,2,0.4,0.7,0.8654,77.7988
2,2,0.4,0.7,0.805,85.7936
3,2,0.4,0.7,0.7242,90.0522
-3,3,0.4,0.7,0.9934,43.3998
-2,3,0.4,0.7,0.989,46.7974
-1,3,0.4,0.7,0.9818,49.8164
0,3,0.4,0.7,0.9688,54.873
1,3,0.4,0.7,0.9572,60.7266
2,3,0.4,0.7,0.9292,65.5472
3,3,0.4,0.7,0.89,73.1508
-3,-3,0.7,0.7,0.234,96.1364
-2,-3,0.7,0.7,0.1182,84.6798
-1,-3,0.7,0.7,0.0682,73.1576
0,-3,0.7,0.7,0.0284,64.0348
1,-3,0.7,0.7,0.0142,55.2418
2,-3,0.7,0.7,0.0082,47.6384
3,-3,0.7,0.7,0.0036,42.0216
-3,-2,0.7,0.7,0.4646,107.959
-2,-2,0.7,0.7,0.303,103.4958
-1,-2,0.7,0.7,0.1752,94.6338
0,-2,0.7,0.7,0.0886,81.1984
1,-2,0.7,0.7,0.0442,70.4138
2,-2,0.7,0.7,0.0246,59.478
3,-2,0.7,0.7,0.01,52.562
-3,-1,0.7,0.7,0.7424,102.0394
-2,-1,0.7,0.7,0.5738,107.1712
-1,-1,0.7,0.7,0.3914,109.1616
0,-1,0.7,0.7,0.2486,101.6202
1,-1,0.7,0.7,0.1426,89.8736
2,-1,0.7,0.7,0.073,76.9504
3,-1,0.7,0.7,0.0358,66.774
-3,0,0.7,0.7,0.895,82.3194
-2,0,0.7,0.7,0.8178,96.4284
-1,0,0.7,0.7,0.6686,106.974
0,0,0.7,0.7,0.505,109.9316
1,0,0.7,0.7,0.3336,107.6156
2,0,0.7,0.7,0.2026,98.2518
3,0,0.7,0.7,0.1066,84.4636
-3,1,0.7,0.7,0.969,64.124
-2,1,0.7,0.7,0.932,76.2502
-1,1,0.7,0.7,0.8724,88.7392
0,1,0.7,0.7,0.771,99.281
1,1,0.7,0.7,0.6116,105.7564
2,1,0.7,0.7,0.4498,110.6422
3,1,0.7,0.7,0.2862,102.7366
-3,2,0.7,0.7,0.9898,50.599
-2,2,0.7,0.7,0.9838,59.4924
-1,2,0.7,0.7,0.9584,69.4838
0,2,0.7,0.7,0.9128,81.4038
1,2,0.7,0.7,0.8286,92.4906
2,2,0.7,0.7,0.702,101.9398
3,2,0.7,0.7,0.559,104.5192
-3,3,0.7,0.7,0.9968,42.1364
-2,3,0.7,0.7,0.9934,46.8224
-1,3,0.7,0.7,0.988,53.6338
0,3,0.7,0.7,0.971,61.65
1,3,0.7,0.7,0.9338,71.3426
2,3,0.7,0.7,0.8782,81.9968
3,3,0.7,0.7,0.7758,94.0844
-3,-3,1.0,0.7,0.3486,106.822
-2,-3,1.0,0.7,0.1822,96.735
-1,-3,1.0,0.7,0.083,82.454
0,-3,1.0,0.7,0.0346,67.6782
1,-3,1.0,0.7,0.0128,56.1488
2,-3,1.0,0.7,0.006,47.8572
3,-3,1.0,0.7,0.0014,41.0408
-3,-2,1.0,0.7,0.6196,108.4064
-2,-2,1.0,0.7,0.4032,111.4268
-1,-2,1.0,0.7,0.2258,100.0458
0,-2,1.0,0.7,0.1022,85.9878
1,-2,1.0,0.7,0.0418,71.646
2,-2,1.0,0.7,0.0192,58.1034
3,-2,1.0,0.7,0.0058,49.4656
-3,-1,1.0,0.7,0.833,95.3262
-2,-1,1.0,0.7,0.6604,108.6406
-1,-1,1.0,0.7,0.4512,112.8948
0,-1,1.0,0.7,0.2516,106.5514
1,-1,1.0,0.7,0.1206,91.158
2,-1,1.0,0.7,0.0538,74.6344
3,-1,1.0,0.7,0.0186,61.9818
-3,0,1.0,0.7,0.9382,75.9208
-2,0,1.0,0.7,0.865,92.4106
-1,0,1.0,0.7,0.7222,107.6856
0,0,1.0,0.7,0.5142,114.276
1,0,1.0,0.7,0.2912,109.7972
2,0,1.0,0.7,0.152,94.621
3,0,1.0,0.7,0.061,78.334
-3,1,1.0,0.7,0.9818,59.512
-2,1,1.0,0.7,0.9586,73.4278
-1,1,1.0,0.7,0.8946,89.4836
0,1,1.0,0.7,0.764,103.4528
1,1,1.0,0.7,0.5808,111.936
2,1,1.0,0.7,0.358,110.3756
3,1,1.0,0.7,0.18,96.9502
-3,2,1.0,0.7,0.9946,47.6188
-2,2,1.0,0.7,0.9852,57.19
-1,2,1.0,0.7,0.9626,68.8888
0,2,1.0,0.7,0.9088,86.018
1,2,1.0,0.7,0.7968,99.3596
2,2,1.0,0.7,0.6158,109.763
3,2,1.0,0.7,0.414,109.0142
-3,3,1.0,0.7,0.999,39.5502
-2,3,1.0,0.7,0.9952,45.4734
-1,3,1.0,0.7,0.9896,55.0442
0,3,1.0,0.7,0.9658,66.0138
